numenq,sch_lev,farm_f,trad_f,exec_f,tech_f,whc_f,blc_f,noocc_f,farm_m,trad_m,exec_m,tech_m,whc_m,blc_m,noocc_m,orfr,oroecd,orother,foreign,late6,urban,male,age98,date_first,full_first,wage_first,employed_36,full_36,wage_36,experience_36,employed_60,full_60,wage_60,experience_60
307078,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,18,10,1,945,1,1,933,26,1,1,933,50
c08015,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,19,9,1,427,1,1,1220,18,1,1,899,39
309585,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,9,1,793,1,1,1000,27,1,1,1000,51
b13374,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,0,0,0,0,27,16,0,1222,1,1,1222,20,1,1,1222,44
201355,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,15,1,884,1,1,930,21,1,1,930,45
b07725,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,19,7,1,930,1,1,1152,29,1,1,1152,53
b09088,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,8,1,1143,1,1,1192,28,1,1,1192,52
218742,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,21,7,1,1084,1,1,1082,20,1,1,1315,44
316683,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19,7,1,842,1,1,1078,29,1,1,1078,53
510748,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,27,11,1,1174,1,1,1350,25,1,1,1350,49
c08175,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,19,1,991,1,1,990,14,1,1,990,38
221161,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,20,9,1,1020,1,1,1059,27,1,1,1059,51
315772,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,20,13,1,838,1,1,1021,23,1,1,1021,47
301292,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,22,9,0,1651,1,1,1651,27,1,1,1651,51
216680,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,21,7,1,1052,1,1,1143,16,1,1,1143,40
203915,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,7,1,810,1,1,810,29,1,1,1127,53
b16895,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,7,1,838,1,1,1052,29,1,1,1052,53
200718,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19,7,1,810,1,1,1286,29,1,1,1286,53
213405,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,22,8,1,991,1,1,915,28,1,1,915,52
317050,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,21,7,1,1052,1,1,1289,29,1,1,1289,53
b17497,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,19,7,1,915,1,1,1083,29,1,1,1083,53
310537,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,4,1,1239,1,1,1148,32,1,1,1148,56
c07734,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,21,8,1,1220,1,1,1411,28,1,1,1646,51
b11914,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,19,7,1,810,1,1,960,29,1,1,1169,49
204216,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,18,1,1296,1,1,1458,18,1,1,1458,42
219062,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,20,7,1,1067,1,1,1143,29,1,1,1124,53
b05429,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,35,1,839,1,1,839,1,1,1,1067,23
c17711,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,22,23,1,808,1,1,920,13,1,1,920,37
210683,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,21,8,1,963,1,1,1143,28,1,1,1143,52
518239,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,31,2,1,779,1,0,779,34,1,0,779,58
210196,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,21,10,1,838,1,1,787,26,1,1,787,50
304191,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,19,1,884,1,1,976,17,1,1,976,41
206010,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19,14,1,799,1,1,1013,18,1,1,1013,42
313237,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,23,7,1,960,1,1,1113,29,1,1,1113,53
309932,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,24,12,1,810,1,1,1524,24,1,1,1524,48
